Date,Station,Entries
3/25/2023,Arlington Cemetery,21.0
3/25/2023,West Hyattsville,305.0
3/25/2023,Cheverly,41.0
3/25/2023,Fort Totten,602.0
3/25/2023,Braddock Road,145.0
3/26/2023,Takoma,376.0
3/26/2023,Wheaton,339.0
3/25/2023,Greensboro,24.0
3/25/2023,Grosvenor-Strathmore,126.0
3/24/2023,Smithsonian,10.0
3/24/2023,Downtown Largo,9.0
3/26/2023,Eastern Market,1157.0
3/25/2023,Van Dorn Street,93.0
3/26/2023,Federal Triangle,6624.0
3/23/2023,West Hyattsville,16.0
3/23/2023,King St-Old Town,6.0
3/23/2023,Capitol South,10.0
3/25/2023,Eisenhower Ave,3.0
3/23/2023,Columbia Heights,17.0
3/23/2023,Tysons,0.0
3/25/2023,Federal Triangle,5.0
3/27/2023,Southern Ave,357.0
3/27/2023,Bethesda,989.0
3/27/2023,Deanwood,155.0
3/27/2023,Gallery Place,3653.0
3/27/2023,Rhode Island Ave,1263.0
3/27/2023,Navy Yard-Ballpark,1849.0
3/27/2023,Foggy Bottom-GWU,5791.0
3/27/2023,Congress Heights,278.0
3/27/2023,Shaw-Howard U,1022.0
3/27/2023,Archives,1912.0
3/27/2023,Ronald Reagan Washington National Airport,1523.0
3/27/2023,Van Ness-UDC,921.0
3/27/2023,Gallery Place,4791.0
3/27/2023,Huntington,78.0
3/27/2023,Branch Ave,55.0
3/27/2023,Eisenhower Ave,56.0
3/27/2023,Archives,381.0
3/27/2023,Dunn Loring,55.0
3/27/2023,Franconia-Springfield,481.0
3/27/2023,Branch Ave,376.0
3/26/2023,Court House,7.0
3/26/2023,Branch Ave,2.0
3/26/2023,Farragut West,6.0
3/26/2023,Benning Road,6.0
3/26/2023,Forest Glen,8.0
3/26/2023,Potomac Ave,2.0
3/26/2023,Greensboro,3.0
3/26/2023,Federal Center SW,4.0
